Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
JetBlue Airways Corp,JBLU,Nasdaq,Industrials,Transportation,Airlines,Airlines,US
Jiangsu Hengrui Pharmaceuticals Co Ltd,600276.SS,Shanghai Stock Exchange,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,China
Johnson & Johnson,JNJ,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,US
Johnson Matthey PLC,JMAT.L,London Stock Exchange,Materials,Materials,Chemicals,Specialty Chemicals,UK
JPMorgan Chase & Co,JPM,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks,US
Jubilant Foodworks Ltd,JUBLFOOD.BO,BSE LTD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,India
Just Dial Ltd,JUSTDIAL.BO,BSE LTD,Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,India
Kaiser Aluminum Corp,KALU,Nasdaq,Materials,Materials,Metals and Mining,Aluminum,US
Kellogg Co,K,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,US
Keurig Dr Pepper Inc,KDP,Nasdaq,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,US
KeyCorp,KEY,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Regional Banks,US
Kinder Morgan Inc,KMI,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,US
Kirkland Lake Gold Ltd,KL.TO,Toronto Stock Exchange,Materials,Materials,Metals and Mining,Gold,Canada
KKR & Co Inc,KKR,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks,US
Klabin SA,KLBN11.SA,B3 S.A.,Materials,Materials,Containers and Packaging,Paper Packaging,Brazil
Kotak Mahindra Bank Ltd,KOTAKBANK.BO,BSE LTD,Financials,Banks,Banks,Diversified Banks,India
Kweichow Moutai Co Ltd,600519.SS,Shanghai Stock Exchange,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Distillers and Vintners,China
Lamprell PLC,LAM.L,London Stock Exchange,Energy,Energy,Energy Equipment and Services,Oil and Gas Equipment and Services,UK
Lands' End Inc,LE,Nasdaq,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,US
Larsen & Toubro Ltd,LT.BO,BSE LTD,Industrials,Capital Goods,Construction and Engineering,Construction and Engineering,India
Las Vegas Sands Corp,LVS,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Casinos and Gaming,US
Lazard Ltd,LAZ,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage,US
