Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
Smiths Group PLC,SMIN.L,London Stock Exchange,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,UK
Snap-on Inc,SNA,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Industrial Machinery,US
Snowflake Inc,SNOW,"New York Stock Exchange, Inc.",Information Technology,Software and Services,IT Services,Internet Services & Infrastructure,US
Sohu.com Ltd,SOHU,Nasdaq,Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,US
SONY Group Corporation,SONY,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables and Apparel,Household Durables,Consumer Electronics,US
Southern Co,SO,"New York Stock Exchange, Inc.",Utilities,Utilities,Electric Utilities,Electric Utilities,US
Southwest Airlines Co,LUV,"New York Stock Exchange, Inc.",Industrials,Transportation,Airlines,Airlines,US
Spirit Airlines Inc,SAVE,"New York Stock Exchange, Inc.",Industrials,Transportation,Airlines,Airlines,US
Spotify Technology SA,SPOT,"New York Stock Exchange, Inc.",Communication Services,Media and Entertainment,Entertainment,Movies & Entertainment,US
Sprouts Farmers Market Inc,SFM,Nasdaq,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail,US
SSE PLC,SSE.L,London Stock Exchange,Utilities,Utilities,Electric Utilities,Electric Utilities,UK
Standard Chartered PLC,STAN.L,London Stock Exchange,Financials,Banks,Banks,Diversified Banks,UK
Starbucks Corp,SBUX,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,US
State Bank of India,SBIN.BO,BSE LTD,Financials,Banks,Banks,Diversified Banks,India
Stitch Fix Inc,SFIX,Nasdaq,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,US
Sul America SA,SULA11.SA,B3 S.A.,Financials,Insurance,Insurance,Multi-line Insurance,Brazil
Sun Pharmaceuticals Industries Ltd,SUNPHARMA.BO,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,India
Suncor Energy Inc,SU.TO,Toronto Stock Exchange,Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,Canada
Sunoco LP,SUN,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing,US
Suzano SA,SUZB3.SA,B3 S.A.,Materials,Materials,Paper and Forest Products,Paper Products,Brazil
Sysco Corp,SYY,"New York Stock Exchange, Inc.",Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Distributors,US
Taiwan Semiconductor Manufacturing Co ,TSM,"New York Stock Exchange, Inc.",Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
TAL Education Group,TAL,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,US
Target Corp,TGT,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores,US
Tata Consultancy Services Ltd,TCS.BO,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services,India
Tata Motors Ltd,TATAMOTORS.BO,BSE LTD,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers,India
Tata Power Co Ltd,TATAPOWER.BO,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities,India
Tata Steel Ltd,TATASTEEL.BO,BSE LTD,Materials,Materials,Metals and Mining,Steel,India
TC Energy Corp,TRP,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,US
Tech Mahindra Ltd,TECHM.BO,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services,India
TELUS Corp,TU,"New York Stock Exchange, Inc.",Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,US
Tencent Holdings Ltd,0700.HK,Hong Kong Exchanges And Clearing Ltd,Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,HK
Tesla Inc,TSLA,Nasdaq,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers,US
Teva Pharmaceutical Industries Ltd,TEVA,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,US
Texas Instruments Inc,TXN,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
Texas Roadhouse Inc,TXRH,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,US
The Container Store Group Inc,TCS,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,US
The Estee Lauder Companies Inc,EL,"New York Stock Exchange, Inc.",Consumer Staples,Household and Personal Products,Personal Products,Personal Products,US
The GEO Group Inc,GEO,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,US
The Hershey Co,HSY,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,US
The Middleby Corp,MIDD,Nasdaq,Industrials,Capital Goods,Machinery,Industrial Machinery,US
The Walt Disney Co,DIS,"New York Stock Exchange, Inc.",Communication Services,Media and Entertainment,Entertainment,Movies & Entertainment,US
The Wendy's Co,WEN,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,US
The York Water Co,YORW,Nasdaq,Utilities,Utilities,Water Utilities,Water Utilities,US
The9 Ltd,NCTY,Nasdaq,Communication Services,Media and Entertainment,Entertainment,Interactive Home Entertainment,US
Titan Co Ltd,TITAN.BO,BSE LTD,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",India
Titan International Inc,TWI,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Agricultural and Farm Machinery,US
TJX Companies Inc,TJX,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,US
Tootsie Roll Industries Inc,TR,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,US
Toyota Motor Corp,TM,"New York Stock Exchange, Inc.",Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers,US
Treehouse Foods Inc,THS,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,US
TREX Co Inc,TREX,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Building Products,Building Products,US
Tullow Oil PLC,TLW.L,London Stock Exchange,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,UK
Twitter Inc,TWTR,"New York Stock Exchange, Inc.",Communication Services,Media and Entertainment,Interactive Media & Services,Interactive Media & Services,US
Tyson Foods Inc,TSN,"New York Stock Exchange, Inc.",Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,US
Uber Technologies Inc,UBER,"New York Stock Exchange, Inc.",Industrials,Transportation,Road and Rail,Trucking,US
UBS Group AG,UBS,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Diversified Capital Markets,US
UGI Corp,UGI,"New York Stock Exchange, Inc.",Utilities,Utilities,Gas Utilities,Gas Utilities,US
Ulta Beauty Inc,ULTA,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,US
Ultrapar Participacoes SA,UGPA3.SA,B3 S.A.,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Storage and Transportation,Brazil
UltraTech Cement Ltd,ULTRACEMCO.BO,BSE LTD,Materials,Materials,Construction Materials,Construction Materials,India
Under Armour Inc,UAA,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",US
Unilever PLC,ULVR.L,London Stock Exchange,Consumer Staples,Household and Personal Products,Personal Products,Personal Products,UK
Unilever PLC,UL,"New York Stock Exchange, Inc.",Consumer Staples,Household and Personal Products,Personal Products,Personal Products,US
United Natural Foods Inc,UNFI,"New York Stock Exchange, Inc.",Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Distributors,US
United States Steel Corp,X,"New York Stock Exchange, Inc.",Materials,Materials,Metals and Mining,Steel,US
United Utilities Group PLC,UU.L,London Stock Exchange,Utilities,Utilities,Water Utilities,Water Utilities,UK
UnitedHealth Group Inc,UNH,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care,US
Urban Outfitters Inc,URBN,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,US
UTStarcom Holdings Corp,UTSI,Nasdaq,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,US
Vale SA,VALE3.SA,B3 S.A.,Materials,Materials,Metals and Mining,Steel,Brazil
Vedanta Ltd,VEDL.BO,BSE LTD,Materials,Materials,Metals and Mining,Diversified Metals and Mining,India
Veeva Systems Inc,VEEV,"New York Stock Exchange, Inc.",Health Care,Health Care Equipment and Services,Health Care Technology,Health Care Technology,US
VEON Ltd,VEON,Nasdaq,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,US
Vera Bradley Inc,VRA,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",US
Verisk Analytics Inc,VRSK,Nasdaq,Industrials,Commercial Services and Supplies,Professional Services,Research and Consulting Services,US
Verizon Communications Inc,VZ,"New York Stock Exchange, Inc.",Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,US
VF Corp,VFC,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",US
Visa Inc,V,"New York Stock Exchange, Inc.",Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,US
Vodafone Group PLC,VOD.L,London Stock Exchange,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,UK
Vyant Bio Inc,VYNT,Nasdaq,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,US
Wabash National Corp,WNC,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks,US
Walgreens Boots Alliance Inc,WBA,Nasdaq,Consumer Staples,Food and Staples Retailing,Food & Staples Retailing,Drug Retail,US
Walmart Inc,WMT,"New York Stock Exchange, Inc.",Consumer Staples,Food and Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,US
WD-40 Co,WDFC,Nasdaq,Consumer Staples,Household and Personal Products,Household Products,Household Products,US
Weg SA,WEGE3.SA,B3 S.A.,Industrials,Capital Goods,Electrical Equipment,Electrical Components and Equipment,Brazil
Wells Fargo & Co,WFC,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Diversified Banks,US
Whitbread PLC,WTB.L,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines",UK
Williams-Sonoma Inc,WSM,"New York Stock Exchange, Inc.",Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail,US
Wipro Ltd,WIPRO.BO,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services,India
Wuliangye Yibin Co Ltd,000858.SZ,Shenzhen Stock Exchange,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Distillers and Vintners,China
Wyndham Hotels & Resorts Inc,WH,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines",US
Wynnstay Group PLC,WYN.L,London Stock Exchange,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Agricultural Products,UK
Xerox Holdings Corp,XRX,"New York Stock Exchange, Inc.",Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",US
Yes Bank Ltd,YESBANK.BO,BSE LTD,Financials,Banks,Banks,Diversified Banks,India
Yum Brands Inc,YUM,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,US
Zogenix Inc,ZGNX,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,US
ZTO Express (Cayman) Inc,ZTO,"New York Stock Exchange, Inc.",Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics,US
